actor_id,archetype,existing_bonus,existing_checkpoints,existing_expired,existing_online_suppressed,existing_ready,existing_rest,existing_suppressed,existing_swap_now,fleet,has_two_route_legs,run_id,seed,shift_duration_min,shift_end_min,shift_start_min
0,P1,1,2,0,1,1,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,191.618,1208.109,1016.491
1,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,213.212,1292.678,1079.467
2,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,206.865,1229.448,1022.584
3,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,224.02,1264.232,1040.212
4,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,183.231,1219.367,1036.136
5,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,191.684,1211.108,1019.424
6,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,202.111,1239.235,1037.124
7,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,217.028,1230.9,1013.873
8,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,208.607,1230.563,1021.956
9,P1,1,2,0,1,1,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,210.332,1240.606,1030.274
10,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,222.044,1284.599,1062.555
11,P1,1,2,0,1,1,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,222.381,1218.109,995.728
12,P1,0,1,0,1,0,0,1,0,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,217.591,1246.311,1028.72
13,P2,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,637.795,1152.604,514.809
14,P2,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,647.906,1166.279,518.373
15,P2,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,618.751,1114.414,495.663
16,P2,0,2,0,1,1,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,644.791,1150.686,505.895
17,P2,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,631.649,1057.144,425.495
18,P2,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,601.115,1078.503,477.387
19,P2,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,637.134,1106.328,469.195
20,P2,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,628.416,1104.496,476.08
21,P2,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,651.488,1084.936,433.448
22,P2,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,649.78,1150.267,500.487
23,P2,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,609.304,1114.97,505.666
24,P2,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,635.985,1060.963,424.977
25,P2,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,613.985,1073.654,459.67
26,P2,0,2,0,1,1,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,634.416,1060.493,426.077
27,P2,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,641.578,1089.193,447.615
28,P2,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,620.796,1043.903,423.107
29,P2,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,619.175,1140.764,521.589
30,P2,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,652.735,1171.571,518.836
31,P3,0,2,0,1,1,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,694.809,1273.776,578.967
32,P3,0,2,0,1,1,0,1,1,charge,1,1000-B-sp+al-all-c9beb6ef2,1000,666.012,1250.625,584.613
33,P3,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,673.515,1228.735,555.22
34,P3,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,699.92,1269.52,569.6
35,P3,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,681.512,1231.546,550.033
36,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,489.744,862.612,372.868
37,P4,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,516.439,923.685,407.246
38,P4,1,3,0,1,2,1,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,534.918,926.484,391.566
39,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,537.147,908.229,371.082
40,P4,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,533.31,982.446,449.135
41,P4,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,516.336,947.195,430.859
42,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,519.562,998.552,478.99
43,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,531.224,901.535,370.31
44,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,537.155,945.81,408.654
45,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,516.1,891.547,375.448
46,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,521.237,891.465,370.228
47,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,524.168,941.135,416.967
48,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,511.584,887.967,376.384
49,P4,1,2,0,1,1,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,515.442,899.806,384.364
50,P4,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,528.02,973.854,445.835
51,P4,1,3,0,1,2,0,1,1,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,539.683,965.856,426.173
52,P5,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,422.248,1440.0,1017.752
53,P5,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,483.787,1440.0,956.213
54,P5,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,421.409,1440.0,1018.591
55,P5,0,1,0,1,0,0,1,0,swap,1,1000-B-sp+al-all-c9beb6ef2,1000,523.642,1431.997,908.355
