additional_not_existing,candidate_type,cooldown_blocked,cooldown_proposal_min,coverage_rate,dedup_blocked,dedup_kept_touchpoints,driver_runs_total,max_per_covered_driver,mean_per_driver_run,overlap_existing_records,p50_per_covered_driver,p75_per_covered_driver,p90_per_covered_driver,proxy_thresholds,raw_candidates,safe_estimate_records,safety_blocked,unique_driver_runs
0,bonus_progress,0,60.0,0.44,0,198,450,1,0.44,198,1.0,1.0,1.0,"{'income_low_ratio': None, 'income_high_ratio': None, 'idle_gap_min': None, 'empty_share': None, 'swap_future_buckets': None}",198,198,0,198
156,empty_efficiency,0,180.0,0.62,0,156,450,1,0.346667,0,1.0,1.0,1.0,"{'income_low_ratio': None, 'income_high_ratio': None, 'idle_gap_min': None, 'empty_share': 0.4, 'swap_future_buckets': None}",279,156,123,279
157,income_pace,0,120.0,0.631111,0,157,450,1,0.348889,0,1.0,1.0,1.0,"{'income_low_ratio': 0.8, 'income_high_ratio': 1.2, 'idle_gap_min': None, 'empty_share': None, 'swap_future_buckets': None}",284,157,127,284
36,long_idle,0,120.0,0.893333,0,36,450,1,0.08,0,1.0,1.0,1.0,"{'income_low_ratio': None, 'income_high_ratio': None, 'idle_gap_min': 30.0, 'empty_share': None, 'swap_future_buckets': None}",880,36,844,402
61,plan_deviation,0,120.0,0.135556,0,61,450,1,0.135556,0,1.0,1.0,1.0,"{'income_low_ratio': None, 'income_high_ratio': None, 'idle_gap_min': None, 'empty_share': None, 'swap_future_buckets': None}",61,61,0,61
0,planned_rest,0,60.0,0.12,0,54,450,1,0.12,54,1.0,1.0,1.0,"{'income_low_ratio': None, 'income_high_ratio': None, 'idle_gap_min': None, 'empty_share': None, 'swap_future_buckets': None}",54,54,0,54
450,post_shift_recap,0,0.0,1.0,0,450,450,1,1.0,0,1.0,1.0,1.0,"{'income_low_ratio': None, 'income_high_ratio': None, 'idle_gap_min': None, 'empty_share': None, 'swap_future_buckets': None}",450,450,0,450
450,pre_shift_plan,0,0.0,1.0,0,450,450,1,1.0,0,1.0,1.0,1.0,"{'income_low_ratio': None, 'income_high_ratio': None, 'idle_gap_min': None, 'empty_share': None, 'swap_future_buckets': None}",450,450,0,450
0,swap_now,0,60.0,0.36,0,162,450,1,0.36,162,1.0,1.0,1.0,"{'income_low_ratio': None, 'income_high_ratio': None, 'idle_gap_min': None, 'empty_share': None, 'swap_future_buckets': None}",162,162,0,162
0,swap_soon,0,120.0,0.846667,0,381,450,1,0.846667,381,1.0,1.0,1.0,"{'income_low_ratio': None, 'income_high_ratio': None, 'idle_gap_min': None, 'empty_share': None, 'swap_future_buckets': 2}",381,381,0,381
