scope,seed,run_id,actor_id,driver_id,archetype,fleet,total_checkpoints,ready,queued,suppressed,expired,superseded,offered,displayed,accepted,dismissed,expanded,execution_observed,attached,unattached,first_checkpoint_min,first_attached_step,median_steps_between_attached,trip_transition_count,two_route_legs,topics,actions,final_payout_vnd,final_trips_done
seed,1000,1000-B-sp+al-all-c9beb6ef2,0,d-0,P1,charge,2,1,0,1,0,0,0,0,0,0,0,1,1,1,1016.0,4,,16,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,88874,5
seed,1000,1000-B-sp+al-all-c9beb6ef2,1,d-1,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1079.0,,,29,1,shift_timing,ONLINE,164698,8
seed,1000,1000-B-sp+al-all-c9beb6ef2,2,d-2,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1022.0,,,20,1,shift_timing,ONLINE,123458,6
seed,1000,1000-B-sp+al-all-c9beb6ef2,3,d-3,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1040.0,,,18,1,shift_timing,ONLINE,139765,6
seed,1000,1000-B-sp+al-all-c9beb6ef2,4,d-4,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1036.0,,,10,1,shift_timing,ONLINE,56635,3
seed,1000,1000-B-sp+al-all-c9beb6ef2,5,d-5,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1019.0,,,20,1,shift_timing,ONLINE,136743,6
seed,1000,1000-B-sp+al-all-c9beb6ef2,6,d-6,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1037.0,,,14,1,shift_timing,ONLINE,90060,4
seed,1000,1000-B-sp+al-all-c9beb6ef2,7,d-7,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1013.0,,,13,1,shift_timing,ONLINE,88150,4
seed,1000,1000-B-sp+al-all-c9beb6ef2,8,d-8,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1021.0,,,27,1,shift_timing,ONLINE,225103,9
seed,1000,1000-B-sp+al-all-c9beb6ef2,9,d-9,P1,charge,2,1,0,1,0,0,0,0,0,0,0,1,1,1,1030.0,5,,14,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,78832,4
seed,1000,1000-B-sp+al-all-c9beb6ef2,10,d-10,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1062.0,,,22,1,shift_timing,ONLINE,147230,7
seed,1000,1000-B-sp+al-all-c9beb6ef2,11,d-11,P1,charge,2,1,0,1,0,0,0,0,0,0,0,1,1,1,995.0,9,,21,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,103751,6
