seed,run_id,actor_id,archetype,fleet,checkpoints,ready_checkpoints,checkpoint_topics,current_future_distinct,swap_soon_candidates,checkpoint_execution_links,max_topic_revisions,trips,payout_vnd,points,soc_end_pct,online_min,rest_min,charge_min,idle_min,longest_inferred_idle_min,long_idle_blocks_30m,empty_share,high_empty_share_40pct,soc_skips,repeated_soc_skips,swap_started,swap_failed,swap_done,swap_wait_max_min,battery_stranded,rest_events,cancel_after_accept,decline_economics,decline_behavior,mission_completed,newbie_events,ratings,recap_inputs_present,energy_event_count
1000,1000-B-sp+al-all-c9beb6ef2,0,P1,charge,6,1,bonus_eligibility;shift_timing,2,0,5,5,5,88874,40,52.395,199.848,36.321,0.0,30.0,10.546,0,0.4059,True,0,False,0,0,0,0.0,0,1,0,1,0,0,0,3,True,0
1000,1000-B-sp+al-all-c9beb6ef2,1,P1,charge,5,0,shift_timing,2,0,4,5,8,164698,45,27.019,235.55,0.0,0.0,36.0,10.904,0,0.4093,True,0,False,0,0,0,0.0,0,0,2,0,1,0,0,8,True,0
1000,1000-B-sp+al-all-c9beb6ef2,2,P1,charge,4,0,shift_timing,1,0,3,4,6,123458,40,62.044,208.745,35.882,0.0,46.0,15.926,0,0.4342,True,0,False,0,0,0,0.0,0,1,0,0,2,1,0,5,True,0
1000,1000-B-sp+al-all-c9beb6ef2,3,P1,charge,5,0,shift_timing,2,0,4,5,6,139765,35,46.62,233.603,27.319,0.0,28.0,13.758,0,0.3139,False,0,False,0,0,0,0.0,0,1,0,0,0,0,0,4,True,0
1000,1000-B-sp+al-all-c9beb6ef2,4,P1,charge,4,0,shift_timing,1,0,4,4,3,56635,20,50.55,184.476,33.238,0.0,58.0,23.825,0,0.4477,True,0,False,0,0,0,0.0,0,1,0,1,0,0,0,1,True,0
1000,1000-B-sp+al-all-c9beb6ef2,5,P1,charge,5,0,shift_timing,2,0,4,5,6,136743,40,39.142,193.534,0.0,0.0,36.0,12.052,0,0.3832,False,0,False,0,0,0,0.0,0,0,0,2,0,1,0,6,True,0
1000,1000-B-sp+al-all-c9beb6ef2,6,P1,charge,4,0,shift_timing,1,0,4,4,4,90060,25,54.25,203.707,20.766,0.0,44.0,30.0,1,0.4608,True,0,False,0,0,0,0.0,0,1,1,0,0,0,0,2,True,0
1000,1000-B-sp+al-all-c9beb6ef2,7,P1,charge,5,0,shift_timing,2,0,5,5,4,88150,30,48.519,217.708,42.723,0.0,42.0,14.328,0,0.3864,False,0,False,0,0,0,0.0,0,1,0,0,1,0,0,3,True,0
1000,1000-B-sp+al-all-c9beb6ef2,8,P1,charge,3,0,shift_timing,1,0,2,3,9,225103,60,24.782,216.14,0.0,0.0,8.0,1.376,0,0.3091,False,0,False,0,0,0,0.0,0,0,0,0,0,1,0,6,True,0
1000,1000-B-sp+al-all-c9beb6ef2,9,P1,charge,5,1,bonus_eligibility;shift_timing,1,0,4,4,4,78832,30,45.327,212.242,27.22,0.0,72.0,40.0,1,0.3921,False,0,False,0,0,0,0.0,0,1,0,1,1,0,0,2,True,0
